month,nifty_close,india_vix
2007-09,5021.35009765625,
2007-10,5900.64990234375,
2007-11,5762.75,
2007-12,6138.60009765625,
2008-01,5137.4501953125,
2008-02,5223.5,
2008-03,4734.5,35.13999938964844
2008-04,5165.89990234375,26.15999984741211
2008-05,4870.10009765625,26.68000030517578
2008-06,4040.550048828125,30.959999084472656
2008-07,4332.9501953125,39.060001373291016
2008-08,4360.0,31.670000076293945
2008-09,3921.199951171875,37.18999862670898
2008-10,2885.60009765625,68.3499984741211
2008-11,2755.10009765625,57.43999862670898
2008-12,2959.14990234375,43.09000015258789
2009-01,2874.800048828125,42.09999847412109
2009-02,2763.64990234375,40.61000061035156
2009-03,3020.949951171875,39.47999954223633
2009-04,3473.949951171875,46.630001068115234
2009-05,4448.9501953125,40.29999923706055
2009-06,4291.10009765625,42.540000915527344
2009-07,4636.4501953125,39.209999084472656
2009-08,4662.10009765625,34.5099983215332
2009-09,5083.9501953125,25.270000457763672
2009-10,4711.7001953125,25.38999938964844
2009-11,5032.7001953125,27.559999465942383
2009-12,5201.0498046875,23.34000015258789
2010-01,4882.0498046875,26.1299991607666
2010-02,4922.2998046875,24.020000457763672
2010-03,5249.10009765625,19.8700008392334
2010-04,5278.0,20.350000381469727
2010-05,5086.2998046875,26.43000030517578
2010-06,5312.5,20.06999969482422
2010-07,5367.60009765625,18.940000534057617
2010-08,5402.39990234375,18.46999931335449
2010-09,6029.9501953125,22.25
2010-10,6017.7001953125,20.76000022888184
2010-11,5862.7001953125,20.709999084472656
2010-12,6134.5,16.559999465942383
2011-01,5505.89990234375,23.40999984741211
2011-02,5333.25,24.399999618530277
2011-03,5833.75,22.18000030517578
2011-04,5749.5,19.57999992370605
2011-05,5473.10009765625,16.81999969482422
2011-06,5647.39990234375,18.40999984741211
2011-07,5482.0,19.770000457763672
2011-08,5001.0,24.8799991607666
2011-09,4943.25,31.940000534057617
2011-10,5326.60009765625,22.65999984741211
2011-11,4832.0498046875,26.549999237060547
2011-12,4624.2998046875,27.11000061035156
2012-01,5199.25,22.65999984741211
2012-02,5385.2001953125,26.93000030517578
2012-03,5295.5498046875,22.3799991607666
2012-04,5248.14990234375,17.81999969482422
2012-05,4924.25,25.25
2012-06,5278.89990234375,19.07999992370605
2012-07,5229.0,16.010000228881836
2012-08,5258.5,17.299999237060547
2012-09,5703.2998046875,16.15999984741211
2012-10,5619.7001953125,14.399999618530272
2012-11,5879.85009765625,15.149999618530272
2012-12,5905.10009765625,14.949999809265137
2013-01,6034.75,14.130000114440918
2013-02,5693.0498046875,14.859999656677246
2013-03,5682.5498046875,15.220000267028809
2013-04,5930.2001953125,15.100000381469728
2013-05,5985.9501953125,16.989999771118164
2013-06,5842.2001953125,17.950000762939453
2013-07,5742.0,18.770000457763672
2013-08,5471.7998046875,27.809999465942383
2013-09,5735.2998046875,26.649999618530277
2013-10,6299.14990234375,18.38999938964844
2013-11,6176.10009765625,21.3799991607666
2013-12,6304.0,15.119999885559082
2014-01,6089.5,16.81999969482422
2014-02,6276.9501953125,14.18000030517578
2014-03,6704.2001953125,21.6200008392334
2014-04,6696.39990234375,30.59000015258789
2014-05,7229.9501953125,16.34000015258789
2014-06,7611.35009765625,17.8700008392334
2014-07,7721.2998046875,13.81999969482422
2014-08,7954.35009765625,13.06999969482422
2014-09,7964.7998046875,13.149999618530272
2014-10,8322.2001953125,13.300000190734863
2014-11,8588.25,12.899999618530272
2014-12,8282.7001953125,15.119999885559082
2015-01,8808.900390625,20.170000076293945
2015-02,8844.599609375,19.56999969482422
2015-03,8491.0,14.489999771118164
2015-04,8181.5,17.229999542236328
2015-05,8433.650390625,16.65999984741211
2015-06,8368.5,16.93000030517578
2015-07,8532.849609375,14.56999969482422
2015-08,7971.2998046875,24.600000381469727
2015-09,7948.89990234375,19.6299991607666
2015-10,8065.7998046875,17.8799991607666
2015-11,7935.25,16.43000030517578
2015-12,7946.35009765625,13.869999885559082
2016-01,7563.5498046875,17.239999771118164
2016-02,6987.0498046875,20.15999984741211
2016-03,7738.39990234375,16.579999923706055
2016-04,7849.7998046875,16.540000915527344
2016-05,8160.10009765625,16.049999237060547
2016-06,8287.75,16.290000915527344
2016-07,8638.5,14.920000076293944
2016-08,8786.2001953125,13.239999771118164
2016-09,8611.150390625,17.18000030517578
2016-10,8638.0,14.649999618530272
2016-11,8224.5,16.850000381469727
2016-12,8185.7998046875,15.470000267028809
2017-01,8561.2998046875,16.829999923706055
2017-02,8879.599609375,13.789999961853027
2017-03,9173.75,12.420000076293944
2017-04,9304.0498046875,10.859999656677246
2017-05,9621.25,11.760000228881836
2017-06,9520.900390625,11.729999542236328
2017-07,10077.099609375,11.899999618530272
2017-08,9917.900390625,11.949999809265137
2017-09,9788.599609375,12.489999771118164
2017-10,10335.2998046875,12.4399995803833
2017-11,10226.5498046875,13.550000190734863
2017-12,10530.7001953125,12.670000076293944
2018-01,11027.7001953125,15.93000030517578
2018-02,10492.849609375,13.8100004196167
2018-03,10113.7001953125,15.760000228881836
2018-04,10739.349609375,12.359999656677246
2018-05,10736.150390625,13.220000267028809
2018-06,10714.2998046875,12.9399995803833
2018-07,11356.5,12.479999542236328
2018-08,11680.5,12.600000381469728
2018-09,10930.4501953125,17.0
2018-10,10386.599609375,19.799999237060547
2018-11,10876.75,19.15999984741211
2018-12,10862.5498046875,16.0
2019-01,10830.9501953125,17.1200008392334
2019-02,10792.5,18.280000686645508
2019-03,11623.900390625,17.18000030517578
2019-04,11748.150390625,21.82999992370605
2019-05,11922.7998046875,16.06999969482422
2019-06,11788.849609375,14.949999809265137
2019-07,11118.0,13.59000015258789
2019-08,11023.25,16.280000686645508
2019-09,11474.4501953125,15.869999885559082
2019-10,11877.4501953125,16.280000686645508
2019-11,12056.0498046875,13.899999618530272
2019-12,12168.4501953125,11.670000076293944
2020-01,11962.099609375,17.3700008392334
2020-02,11201.75,23.239999771118164
2020-03,8597.75,64.41000366210938
2020-04,9859.900390625,33.9900016784668
2020-05,9580.2998046875,30.21999931335449
2020-06,10302.099609375,29.1200008392334
2020-07,11073.4501953125,24.190000534057617
2020-08,11387.5,22.84000015258789
2020-09,11247.5498046875,19.530000686645508
2020-10,11642.400390625,24.75
2020-11,12968.9501953125,19.81999969482422
2020-12,13981.75,21.100000381469727
2021-01,13634.599609375,25.34000015258789
2021-02,14529.150390625,28.13999938964844
2021-03,14690.7001953125,20.649999618530277
2021-04,14631.099609375,23.030000686645508
2021-05,15582.7998046875,17.399999618530273
2021-06,15721.5,13.050000190734863
2021-07,15763.0498046875,12.800000190734863
2021-08,17132.19921875,14.520000457763672
2021-09,17618.150390625,18.399999618530277
2021-10,17671.650390625,17.43000030517578
2021-11,16983.19921875,21.170000076293945
2021-12,17354.05078125,16.219999313354492
2022-01,17339.849609375,21.950000762939453
2022-02,16793.900390625,28.56999969482422
2022-03,17464.75,20.559999465942383
2022-04,17102.55078125,19.420000076293945
2022-05,16584.55078125,20.479999542236328
2022-06,15780.25,21.84000015258789
2022-07,17158.25,16.549999237060547
2022-08,17759.30078125,18.700000762939453
2022-09,17094.349609375,19.96999931335449
2022-10,18012.19921875,15.800000190734863
2022-11,18758.349609375,13.8100004196167
2022-12,18105.30078125,14.869999885559082
2023-01,17662.150390625,16.8799991607666
2023-02,17303.94921875,14.020000457763672
2023-03,17359.75,12.9399995803833
2023-04,18065.0,10.949999809265137
2023-05,18534.400390625,11.970000267028809
2023-06,19189.05078125,10.800000190734863
2023-07,19753.80078125,10.40999984741211
2023-08,19253.80078125,12.0600004196167
2023-09,19638.30078125,11.449999809265137
2023-10,19079.599609375,11.829999923706056
2023-11,20133.150390625,12.6899995803833
2023-12,21731.400390625,14.5
2024-01,21725.69921875,16.049999237060547
2024-02,21982.80078125,15.56999969482422
2024-03,22326.900390625,12.829999923706056
2024-04,22604.849609375,12.869999885559082
2024-05,22530.69921875,24.600000381469727
2024-06,24010.599609375,13.800000190734863
2024-07,24951.150390625,13.25
2024-08,25235.900390625,13.390000343322754
2024-09,25810.849609375,12.789999961853027
2024-10,24205.349609375,15.550000190734863
2024-11,24131.099609375,14.43000030517578
2024-12,23644.80078125,14.449999809265137
2025-01,23508.400390625,16.25
2025-02,22124.69921875,13.90999984741211
2025-03,23519.349609375,12.720000267028809
2025-04,24334.19921875,18.21999931335449
2025-05,24750.69921875,16.079999923706055
2025-06,25517.05078125,12.789999961853027
2025-07,24768.349609375,11.539999961853027
2025-08,24426.849609375,11.75
2025-09,24611.099609375,11.06999969482422
2025-10,25722.099609375,12.149999618530272
2025-11,26202.94921875,11.619999885559082
2025-12,26129.599609375,9.479999542236328
2026-01,25320.650390625,13.630000114440918
2026-02,25178.650390625,13.699999809265137
2026-03,22331.400390625,27.889999389648438
2026-04,23997.55078125,18.459999084472656
2026-05,23547.75,16.190000534057617
2026-06,23865.75,13.600000381469727
